194	Safety Kleen Environmental Systems	18.4301	-66.50777749	CA	Centro de Acopio	Metales ferrosos	(787) 854-1090	Carretera PR-3 Km 51	Manatí	#9ACA3C	small	embassy	"(18.4301, -66.50777749)"
270	"Gema Recycling, Inc."	18.4225	-66.230013	CA	Centro de Acopio	"Metales ferrosos, no ferrosos, papel, cartón, vidrio, baterías y equipo electrónico"	787-547-0993	"Carr. PR-865, Km. 2.5 (Interior), Bo. Media Luna"	Toa Baja	#9ACA3C	small	embassy	"(18.4225, -66.230013)"
126	Moncho Metal	18.4464	-66.0797299	CA	Centro de Acopio	Metales ferrosos	(787) 722-7491	"Calle Nueva Palma #1056, Santurce"	San Juan	#9ACA3C	small	embassy	"(18.4464, -66.0797299)"
127	Santurce Metal & Bag	18.4471	-66.07816245	CA	Centro de Acopio	"Bronce, metales no ferrosos, cobre, acero inoxidable, baterías y plomo"	(787) 724-7882	"Avenida Las Palmas #1104, Santurce"	San Juan	#9ACA3C	small	embassy	"(18.4471, -66.07816245)"
128	Shred It	18.4153	-66.10124945	CA	Centro de Acopio	Papel	(787) 751-0043	"Calle A #4010, Mario Julia Industrial Park"	San Juan	#9ACA3C	small	embassy	"(18.4153, -66.10124945)"
129	Toledo Engineering Corp.	18.3586	-66.0362802	CA	Centro de Acopio	Hormigón	(787) 283-8787	"Carretera PR-199, Monte Atenas"	San Juan	#9ACA3C	small	embassy	"(18.3586, -66.0362802)"
130	Caribe Recycling Corp.	18.3058	-66.06905506	CA	Centro de Acopio	Paletas de madera	(787) 789-0110	Carretera PR-1 Km 26. Parque Industrial Quebrada Arenas	San Juan	#9ACA3C	small	embassy	"(18.3058, -66.06905506)"
131	Isla Bonita Metals	18.3798	-65.9376964	CA	Centro de Acopio	"Metales no ferrosos, baterías y plomo-ácido"	(787) 750-4172	"Calle Lester, Lote 8"	Carolina	#9ACA3C	small	embassy	"(18.3798, -65.9376964)"
132	Prospero Tire Recycling	18.3838	-65.98912223	CA	Centro de Acopio	Neumáticos	(787) 633-8473	"Carretera PR-848 Km 3.3, Saint Just"	Carolina	#9ACA3C	small	embassy	"(18.3838, -65.98912223)"
133	Rubén Martínez Oil Collection	18.3788	-65.96751868	CA	Centro de Acopio	Aceite de motor	(787) 769-1111	"Carretera PR-887 Km 0.4, Urb. Julio Matos"	Carolina	#9ACA3C	small	embassy	"(18.3788, -65.96751868)"
134	Facsimile Paper Connection	18.4196	-65.98604195	CA	Centro de Acopio	Cartuchos de tinta	(787) 257-0808	"Carretera PR-190 Km 1.0, La Cerámica Industrial Park"	Carolina	#9ACA3C	small	embassy	"(18.4196, -65.98604195)"
135	Toner Solution Inc.	18.4232	-66.04929274	CA	Centro de Acopio	Cartuchos de tinta	(787) 782-9481	"Calle Galápagos, Urb. Country Club #886"	San Juan	#9ACA3C	small	embassy	"(18.4232, -66.04929274)"
136	J.R. Recycling	18.3517	-65.94292606	CA	Centro de Acopio	Neumáticos	(787) 750-4972	"Carretera PR-859 Km 2, Barrio Santa Cruz"	Carolina	#9ACA3C	small	embassy	"(18.3517, -65.94292606)"
137	P.R. Pallets Recycling	18.4044	-66.28453253	CA	Centro de Acopio	Paletas de madera	(787) 270-2198	"Barrio Espinosa, Sector Laguna II"	Dorado	#9ACA3C	small	embassy	"(18.4044, -66.28453253)"
138	Industrial Fibers Corp.	18.4156	-66.18021278	CA	Centro de Acopio	"Metales ferrosos y no ferrosos, vidrio, papel, periódico y cartón"	(787) 780-2825	"Calle 2 Oeste #17, Rio Plantation"	Bayamón	#9ACA3C	small	embassy	"(18.4156, -66.18021278)"
139	P.R. Images Solution	18.376	-66.16774794	CA	Centro de Acopio	Cartuchos de tinta	(787) 449-7747	Avenida Magnolia embassy #48	Bayamón	#9ACA3C	small	embassy	"(18.376, -66.16774794)"
140	P.R. Used Oil Collectors Inc.	18.3717	-66.14161975	CA	Centro de Acopio	Aceite de motor	(787) 740-1110	"Calle E, Lote #86"	Bayamón	#9ACA3C	small	embassy	"(18.3717, -66.14161975)"
